name,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,Birth Date,DoB Source,DoB Source URL,Death Date,DoD (P570) Source,DoD Source URL,Marriage Date,P26+P2562 Source,P26+P2562 Source URL,Source for Dates,Place of Birth (P19),PoB Source,PoB Source URL,Place of Death,Place of Death Source,Place of Death Source URL,Place of Residence,Place of Residence Source,Place of Residence Source URL,Source for Places,Occupation,Occupation Source,Occupation Source URL,Gender,LOD - WikiData,DoB Source LCCN,DoB Source Alt_LCCN,DoB Source OCLC,DoB Source Alt_OCLC,DoD (P570) Source LCCN,DoD (P570) Source Alt_LCCN,DoD (P570) Source OCLC,DoD (P570) Source Alt_OCLC,P26+P2562 Source LCCN,P26+P2562 Source Alt_LCCN,P26+P2562 Source OCLC,P26+P2562 Source Alt_OCLC,Source for Dates LCCN,Source for Dates Alt_LCCN,Source for Dates OCLC,Source for Dates Alt_OCLC,PoB Source LCCN,PoB Source Alt_LCCN,PoB Source OCLC,PoB Source Alt_OCLC,Place of Death Source LCCN,Place of Death Source Alt_LCCN,Place of Death Source OCLC,Place of Death Source Alt_OCLC,Place of Residence Source LCCN,Place of Residence Source Alt_LCCN,Place of Residence Source OCLC,Place of Residence Source Alt_OCLC,Source for Places LCCN,Source for Places Alt_LCCN,Source for Places OCLC,Source for Places Alt_OCLC,Occupation Source LCCN,Occupation Source Alt_LCCN,Occupation Source OCLC,Occupation Source Alt_OCLC
"Griffiths, Francis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Griffiths, Owen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groom, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Growden, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gründler, Utilia Elisabeth",Gruendler,,,,,1675-05-19,,,,,,,,,,"Jutland, Denmark",,,,,,"Tharangambadi, India",,,https://digital.francke-halle.de/fsha/content/titleinfo/600831,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Grundy, John",Grindy; Grundey,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grundy, Richard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grusher, Melchior",Gusher; Grueser; Grüz,,Melchor; Melior,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gulik, Augustus Von",Gulick; Jülich,,Auguste; August; Agustin; Augustine,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gut, Jakob",Guts; Güts; Goth; Guth,,Jacob; Jakop; Jacop,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hackman, Urig",Hogman; Hakmann; Hakman; Hake,,Uric; Urich; Urick; Ulrich; Ulrik; Ulrig,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haesbaert, Elizabeth",Haesbaert; Haysbert; Haubert; Haesburt; Haysburt; Häsbärt,,,,,,,,,,,,,,,,,,,,,,,,15935,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Haesbaert, Jacob",Haesbaert; Haysbert; Haubert; Haesburt; Haysburt; Häsbärt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Halberstadt, Fraulein Von Rucken Zu Dedeleben B.",Rück,,,,,before 1690-00-00,,https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698,,,,,,,,,,,,,,"Dedeleben, Harz, Saxony-Anhalt, Germany",,https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hall, Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hall, Jane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hall, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hall, Jonathan",,,John,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hall, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Halle, Herren Dekane U Professoren Der Theologischen U. Juristen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haller, Rudolf",Halter; Hallar; Haler,,Rudolph; Rolph; Rollo; Rolf; Roeloff,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hampton, Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanre, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hardman, Amos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hardman, Roger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hardman, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harings, Egbert",Härings; Herring,,Eckbert; Ekbert; Ecgbehrt,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harrison, Lydia",,,Lidea,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harrison, Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartley, John",Harsley; Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harwood, John",,,,,,,,,,,,,,,,,,,,,,,,,15929,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Hatton, Robert",Halton,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hatton, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawkins, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawkins, Roger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haworth, Andrew",Hayworth; Howorth; Hawort,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haworth, George",Hayworth; Howorth; Hawort,,,,,,,,,,,,,,,,,,,,,,,,15975,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Haworth, James","Hayworth; Howorth; Hawort;
[Howard]",,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haworth, Thomas",Hayworth; Howorth; Hawort,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haydock, Elizabeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hayes, Jonathan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heath, Andrew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heathcote, George",Heathcoat; Heathcot,,,,,,,,1710-11-14 00:00:00,Account of Some of the Families Bearing the Name of Heathcote,,1671-02-20,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",,,"Ratcliffe, Middlesex, England","History of Bucks County, Pennsylvania: Including an Account of Its Original 	Exploration, Its Relation to the Settlements of New Jersey and Delaware, Its Erection Into a Separate County, Also Its Subsequent Growth and Development, with Sketches of Its Historic and Interesting Localities, and Biographies of Many of Its Representative Citizens",,"Bucks County, Pennsylvania",Account of Some of the Families Bearing the Name of Heathcote,,,,,,Merchant,"England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837",,Male,,,,,,85134583.0,[],,[],,[],,[],,,,,,[],,[],85134583.0,[],,[],,,,,,,,,,[],,[]
"Heern, Cornelius",Heeren; Hearn; Herren,,Cornelis; Kornelis; Kornelius,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hees, P.",,,Peter; Pieter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helgers, Jan",Helchers,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helgers, Joannes",Helchers,,John; Johan; Johannes; Jan,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henriette Christina, Fürstin Von Braunschweig U. Lüneburg, Äbtissin Zu Handersheim, Abschr.",,,,,Fürstin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Herr, Christian",Her,,Christe,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Herr, Hans",Her,,Hannes; Hanß,,,1639-09-17,,,1725-01-21 00:00:00,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hex, Hendrik",Hecks; Heks; Heckx; Hicks,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hiencke, Frau V.",Hüneke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hiestand, Hans Jacob",Histand; Hiesttant,,Hannes; Hanß,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Higgins, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Higham, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Higham, Ronald",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Highfield, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hildebrand, Baron Carl, V. Canstein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Seth",,,Seath,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hindley, Hester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hindley, Hugh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hindley, Isaac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hindley, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hingsbergh, Peter",Heinzburg; Hinghzbergh,,Pieter,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hirschler, Jacob",Herschler,,Jakob; Jacop; Jakop,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hobson, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodgson, Brian",Hobson; Hodston,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodgson, Edward",Hodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodgson, Elizabeth",Hobson; Hodston,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodgson, Mary",Hobson; Hodston,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodgson, Robert",Hobson; Hodston,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodgson, Thomas",Hodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoefnagel, Pieter",Hoofnagle; Hophnagel; Hoffnagel,,Peter; Peder,,,,,,1737-11-01 00:00:00,,,1685-07-08 00:00:00,,,New Dutch Biographical Dictionary,"Haarlem, Netherlands",,,"Haarlem, Netherlands",,,"Haarlem, Netherlands",,,New Dutch Biographical Dictionary,Preacher,GAMEO,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,[],,[]
"Hoek, Jan Van",Hugo; Hock; Hoak; Hook; Houk; Hux; Vandenhoek,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,"Amsterdam, Netherlands",,,GAMEO,[Merchant]; [Banker],GAMEO,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,[],,[]
"Hogehuis, Hendrik Van",Hogerhuis; Hochhuis; Hooghuis,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hohenhausen, Christoph",,,,,,before 1690-00-00 {{}https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F33&dm=1&dokref=1&indx=%23F211%23&auft=Hohenhausen%2C+Christoph},,,,,,,,,,"Białogard, Poland",,https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F33&dm=1&dokref=1&indx=%23F211%23&auft=Hohenhausen%2C+Christoph,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holbrooke, Joshua",Holbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holl, Gothart",Hull; Hole; Höll,,Gotthart; Gotthard; Getthart; Godard,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holland, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hollinshead, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hollyman, Thomas",Holliman,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holter, Willem",Holt; Hölt; Hölter,,William; Wilem; Wilhelm; Willhelm,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holzhalb, David",Holtzhalb,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honnore, Jan",Honore; Honoré; Honor,,John; Johannes; Johan,,,,,,,,,,,,,,,,,,,"Amsterdam, Netherlands",,,,Deacon; Treasurer,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoodt, Caspar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hooft, Henrick Van",Hoofd; t'Hooft; Höft; Hoft,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoops, Joshua",,,,,,,,,,,,,,,,,,,,,,,,,"Records of the Courts of the Quarter Sessions of Bucks County, 1684-1700",,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Hoorens, Daniel",Horens; Hoorne; Hooren,,Daniele; Danielle,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoskins, Richard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoskins, Robert",Hoskings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hottensloon, Abraham Van",Hottensen; Hotthausen; Hotensloon,,Abram,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hough, Jeremy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hough, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hough, Richard",,,,,,,,,,,,1684-03-17 00:00:00,,https://www.ancestry.com/imageviewer/collections/14319/images/dvm_LocHist001149-00011-1?rc=&queryId=19f269cd-ded2-4c45-bbb4-edc681727bcb&usePUB=true&usePUBJs=true&pId=18,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houlden, James",Holden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoult, James",Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoult, John",Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoult, Ralph",Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hovens, Enoch",Hove; Hoen; Horens; Hover; Hovey,,Hanoke; Enock,,,1661,,,1742-01-01 00:00:00,,,,,,GAMEO,,,,,,,"Haarlem, Netherlands",,,,Preacher,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Howard, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Howgill, Dorothy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hunter, Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hunter, Randall",,,Randle,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hurst, John",Hearst,,,,,,,,before 1684-05-24,,,,,,15930,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Hütwohl, Valentin",Huetwohl; Hütwohl; Hüetwol; Hutwohl; Huthwohl; Heatwohl,,Valentijn; Valentine; Valentÿn,,,,,,,,,,,,,,,,,,,"Kriegsheim, Germany",,,,Preacher,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ingelfold, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Ralph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janney, Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janney, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janney, Jr., Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janney, Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janney, Anna",Jany; Jenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jansen, Conradt",Jensen; Jan; Johannes; Jansson; Janssen; Jansz; Joanson; Joansen,,Conrad; Konrad; Conraad; Conradt; Coenraadt; Konraad; Konradt; Koenraadt,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janson, Claus",Johnson; Jonson; Jansen; Johanson,,Claes,,,1658,,,1723-12-01 00:00:00,,,1681-1682,,,FindaGrave,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janson, Jan",Johnson; Jonson; Jansen,,John; Jon,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janson, Mary",Johnson; Jonson; Jansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janson, Weyert",Johnson; Jonson; Jansen,,,,,,,,1686-10-20 00:00:00,,,,,,15962,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,
"Jarman, Thomas",Jerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jennings, Ann",,,anne,,,1659,,,1739-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joanson, Jan Willink",Jansz; Janssen; Jansen; Jensen; Jansson; Janszen,,John; Johan; Johannes,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johns Sr., Richard",John,,,,,1645,,,1717-01-01 00:00:00,,,,,,,"Bristol, England",,,Maryland,,,"Calvert County, Maryland",,,,pastor,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johns Jr., Richard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Richard",Jonson,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Thomas",Jonson,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jong, Jacob Linnigs De",Jonge; Jan; Jansz; Jannes,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jonker, Roeloff",Junker; Jonghheer; Jonkheer,,Rudolph; Rolph; Rollo; Rolf; Rudolf,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Juncker, Charlotte Sophie",,,,,Countess,1667-01-28,,,1723-09-06 00:00:00,,,1707-01-01 00:00:00,,,https://de.wikipedia.org/wiki/Johann_Juncker,"Waldeck, Hesse, Germany",,,"Halle, Thuringia, Germany",,,,,,https://de.wikipedia.org/wiki/Johann_Juncker,Countess,https://de.wikipedia.org/wiki/Johann_Juncker,,Female,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,[],,[]
"Justus Luders, Halberstadt?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jutzii, Jacob",Jutz; Juta; Jutzi; Juttzl Jutzij; Jutzey,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
